<?xml version="1.0" encoding="utf-8"?>
<Catalog>
  <CatalogType>SAO J2000 Star Catalog (from HEASARC)</CatalogType>
  <Description>Smithsonian Astrophysical Observatory Star Catalog</Description>
  <VisualMagnitudeLimit>6.5</VisualMagnitudeLimit>
  <Epoch>2000.0</Epoch>
  <Author>SAO</Author>
  <Date>2007-10-31 18:05:07</Date>
  <Source>http://heasarc.gsfc.nasa.gov/W3Browse/star-catalog/sao.html</Source>
  <Comments>
    Catalog covers 88 Constellations and contains 9023 Objects.
    File was saved: Mon Jul 06 16:58:37 EDT 2015
    File was created and filtered by J. L. Lawrence
  </Comments>
  <DataFormatDescrip>
    The format for star catalogs requires that the objects in the catalog
    be sorted by constellation (i.e., constellation abbreviated name) and then by
    object name within the constellations. The data below, sorted by constellation
    and then by object name, is saved as comma delimited fields as follows:
    Name,RA,Decl,mV,Constellation,Alternate Name,Comment
    IMPORTANT NOTE: Because commas are used as field delimiters, commas must **NOT**
    be included in the Name, Alternate Name, or Comment fields!
  </DataFormatDescrip>
  <Data>
    SAO 53540,23.979577,46.413094,6.500000,And,,
    SAO 53568,0.012146,45.253431,6.300000,And,,
    SAO 53580,0.028847,42.367103,6.100000,And,,
    SAO 53622,0.081569,34.660000,6.200000,And,,
    SAO 53677,0.144736,36.626528,6.100000,And,,
    SAO 53744,0.233959,33.205919,6.100000,And,,
    SAO 53777,0.284864,38.681556,4.400000,And,,
    SAO 53798,0.305466,36.785300,4.500000,And,,
    SAO 53803,0.310632,31.517228,5.800000,And,,
    SAO 53820,0.340122,30.935861,5.800000,And,,
    SAO 53825,0.345986,32.911322,6.000000,And,,
    SAO 53828,0.352026,37.968633,5.200000,And,,
    SAO 53860,0.400557,38.577292,5.600000,And,,
    SAO 53928,0.482383,36.899936,6.400000,And,,
    SAO 53956,0.523775,33.581572,6.100000,And,,
    SAO 54033,0.614686,33.719325,4.500000,And,,
    SAO 54038,0.622541,35.399511,5.600000,And,,
    SAO 54058,0.655473,30.861025,3.500000,And,,
    SAO 54079,0.685336,39.458614,5.400000,And,,
    SAO 54225,0.881503,38.548536,6.500000,And,,
    SAO 54237,0.891173,37.418092,6.100000,And,,
    SAO 54281,0.945895,38.499325,3.900000,And,,
    SAO 54306,0.970650,33.951353,6.200000,And,,
    SAO 54471,1.162206,35.620536,2.400000,And,,
    SAO 54494,1.186195,37.724092,5.800000,And,,
    SAO 54579,1.287950,39.480661,6.500000,And,,
    SAO 54592,1.313051,37.386089,6.300000,And,,
    SAO 54654,1.393737,34.245753,6.300000,And,,
    SAO 54655,1.394607,37.715028,5.500000,And,,
    SAO 54695,1.435760,34.579647,6.300000,And,,
    SAO 54705,1.451729,34.377394,6.300000,And,,
    SAO 54788,1.571264,37.237197,5.800000,And,,
    SAO 54991,1.810808,37.952856,6.000000,And,,
    SAO 55082,1.915971,37.128414,6.400000,And,,
    SAO 55102,1.931781,37.277908,6.100000,And,,
    SAO 55107,1.935927,37.251675,5.800000,And,,
    SAO 55289,2.141467,37.859153,4.800000,And,,
    SAO 55330,2.181322,39.039478,6.000000,And,,
    SAO 55453,2.327041,39.835058,6.500000,And,,
    SAO 55680,2.591093,39.664469,6.300000,And,,
    SAO 55684,2.594104,37.312358,5.900000,And,,
    SAO 55705,2.615879,38.732850,5.900000,And,,
    SAO 55715,2.622441,39.895947,6.400000,And,,
    SAO 55729,2.638281,37.726775,6.300000,And,,
    SAO 55735,2.641053,38.089308,6.300000,And,,
    SAO 72929,23.015206,38.708011,6.400000,And,,
    SAO 73007,23.118061,35.636242,6.500000,And,,
    SAO 73049,23.164580,39.469400,6.500000,And,,
    SAO 73190,23.348130,38.182264,5.800000,And,,
    SAO 73308,23.511015,38.662067,6.200000,And,,
    SAO 73311,23.521506,39.236286,5.300000,And,,
    SAO 73346,23.577098,40.236497,5.500000,And,,
    SAO 73351,23.579637,38.023936,6.300000,And,,
    SAO 73368,23.608477,32.904178,6.300000,And,,
    SAO 73422,23.667434,37.652542,6.200000,And,,
    SAO 73428,23.677956,36.720850,6.300000,And,,
    SAO 73535,23.828033,36.425175,5.900000,And,,
    SAO 73650,23.980364,32.381903,6.400000,And,,
    SAO 73656,23.991443,33.724569,5.800000,And,,
    SAO 73743,0.110216,29.021389,6.200000,And,,
    SAO 73765,0.139797,29.090431,2.100000,And,,
    SAO 73823,0.223323,26.987158,6.300000,And,,
    SAO 73842,0.252948,27.282972,6.100000,And,,
    SAO 74041,0.502039,29.751647,5.300000,And,,
    SAO 74083,0.542907,27.580617,6.500000,And,,
    SAO 74090,0.546967,28.280300,6.400000,And,,
    SAO 74136,0.605563,27.254600,6.300000,And,,
    SAO 74148,0.618675,24.014194,6.400000,And,,
    SAO 74164,0.642596,29.311750,4.500000,And,,
    SAO 74200,0.693331,24.628861,6.000000,And,,
    SAO 74267,0.788980,24.267153,4.300000,And,,
    SAO 74359,0.916123,23.628369,5.600000,And,,
    SAO 74388,0.953461,23.417742,4.600000,And,,
    SAO 177546,9.498468,-26.589611,5.700000,Ant,,
    SAO 177619,9.538474,-28.627989,6.400000,Ant,,
    SAO 177738,9.609356,-24.702814,6.500000,Ant,,
    SAO 177748,9.616718,-25.296594,5.900000,Ant,,
    SAO 177908,9.736699,-27.769547,5.000000,Ant,,
    SAO 177939,9.756061,-30.202911,6.500000,Ant,,
    SAO 178130,9.882770,-27.332261,6.300000,Ant,,
    SAO 178216,9.948339,-27.475061,6.300000,Ant,,
    SAO 178526,10.200814,-28.606303,6.100000,Ant,,
    SAO 178644,10.302109,-28.992008,5.600000,Ant,,
    SAO 178759,10.386985,-30.162294,6.300000,Ant,,
    SAO 200392,9.460665,-35.007739,6.500000,Ant,,
    SAO 200416,9.487429,-35.951547,4.600000,Ant,,
    SAO 200419,9.487865,-38.403914,6.200000,Ant,,
    SAO 200445,9.512812,-31.889361,6.400000,Ant,,
    SAO 200459,9.525614,-31.871808,6.000000,Ant,,
    SAO 200462,9.525794,-35.714925,6.000000,Ant,,
    SAO 200492,9.552153,-39.128750,6.400000,Ant,,
