<?xml version="1.0" encoding="utf-8"?>
<Catalog>
  <CatalogType>Reflection Nebulae Catalog (from HEASARC)</CatalogType>
  <Description>Merged Catalog of Reflection Nebulae</Description>
  <VisualMagnitudeLimit>14.7</VisualMagnitudeLimit>
  <Epoch>2000.0</Epoch>
  <Author>Magakian</Author>
  <Date>2012-10-31 12:44:08</Date>
  <Source>http://heasarc.gsfc.nasa.gov/W3Browse/nebula-catalog/refnebulae.html</Source>
  <Comments>
    Catalog covers 42 Constellations and contains 913 Objects.
    File was saved: Mon Jul 06 16:57:13 EDT 2015
    File was created and filtered by J. L. Lawrence
  </Comments>
  <DataFormatDescrip>
    The format for star catalogs requires that the objects in the catalog
    be sorted by constellation (i.e., constellation abbreviated name) and then by
    object name within the constellations. The data below, sorted by constellation
    and then by object name, is saved as comma delimited fields as follows:
    Name,RA,Decl,mV,Constellation,Alternate Name,Comment
    IMPORTANT NOTE: Because commas are used as field delimiters, commas must **NOT**
    be included in the Name, Alternate Name, or Comment fields!
  </DataFormatDescrip>
    [M2003] 516,10.643333,-58.041389,,Car,,near NGC3293; only E?
    [M2003] 517,10.707778,-63.159167,,Car,GRV10,
    [M2003] 518,10.765000,-59.951389,,Car,,
    [M2003] 522,10.856944,-62.992500,,Car,,2 stars?
    [M2003] 525,10.886111,-58.606944,,Car,,very faint
    [M2003] 526,10.942222,-63.008889,,Car,RCW55,several stars
    [M2003] 527,10.950000,-58.607778,,Car,,
    [M2003] 528,10.949444,-63.004444,,Car,,
    [M2003] 529,11.021389,-59.842500,,Car,Cluster Pis17,several stars; wrong coords in RNGC
    [M2003] 530,11.046944,-66.552222,,Car,,
    [M2003] 531,11.074722,-62.962222,,Car,V530 Car,
    [M2003] 535,11.170000,-59.421944,,Car,,
    [M2003] 536,11.172222,-59.490278,,Car,,
    [M2003] 538,11.178611,-59.413611,,Car,,
    [M2003] 539,11.185833,-61.358611,,Car,,near RCW57a
    [M2003] 540,11.190278,-61.304444,,Car,,near RCW57a
    [M2003] 541,11.192222,-61.363056,,Car,,near RCW57a; identification with CPD-60o2620 is not supported by SIMBAD
    [M2003] 542,11.193611,-61.679444,,Car,,very faint
    [M2003] 543,11.191389,-71.436111,,Car,,very faint
    [M2003] 545,11.211667,-59.337222,,Car,,
    [M2003] 1,0.117500,65.643889,,Cas,PP1 MacCH12,
    [M2003] 2,0.120000,65.653611,,Cas,,
    [M2003] 3,0.179444,58.769722,,Cas,,4 stars in nebula
    [M2003] 4,0.190833,58.824444,,Cas,LkHa198,
    [M2003] 5,0.223056,65.612778,,Cas,,
    [M2003] 6,0.390000,56.164722,,Cas,,
    [M2003] 7,0.483056,56.701389,,Cas,Kr3-1,edge of globule
    [M2003] 8,0.576944,69.433889,,Cas,,
    [M2003] 9,0.596389,58.903889,,Cas,,
    [M2003] 10,0.601667,66.291667,,Cas,GM3-1,
    [M2003] 11,0.614444,63.491389,,Cas,GM1-33 RNO1,
    [M2003] 12,0.721667,61.911111,,Cas,V594 Cas,
    [M2003] 13,0.749167,55.781389,,Cas,NS2,several stars?
    [M2003] 14,0.823611,50.748056,,Cas,RNO3,inside globule
    [M2003] 15,0.945000,60.717222,,Cas,gamma Cas,
    [M2003] 16,0.969167,56.505833,,Cas,Kr3-2?,4 nebulae
    [M2003] 17,1.112500,59.675833,,Cas,RNO4,
    [M2003] 18,1.385278,61.864444,,Cas,Sh187,
    [M2003] 19,1.728611,61.834167,,Cas,,
    [M2003] 20,1.824722,55.568611,,Cas,GM3-3,
    [M2003] 22,2.471389,72.625833,,Cas,RNO7,
    [M2003] 23,2.484167,72.993611,,Cas,,3 stars with nebulae
    [M2003] 24,2.508889,72.988056,,Cas,RNO8,
    [M2003] 25,2.811667,69.591667,,Cas,,in the same nebula with VdB7
    [M2003] 26,2.815556,69.635000,,Cas,RZ Cas,
    [M2003] 27,2.859444,67.814167,,Cas,,not galaxy
    [M2003] 28,2.865833,68.890278,,Cas,SU Cas,
    [M2003] 29,2.956111,60.688611,,Cas,PP7 RNO11 LW Cas,
    [M2003] 30,3.015556,60.669722,,Cas,RNO12,nebulous star inside bright-rimmed globule
    [M2003] 31,3.123056,58.513333,,Cas,GL437,several nebulae
    [M2003] 905,23.290556,60.845278,,Cas,MWC1080 V628 Cas,
    [M2003] 908,23.768611,63.390000,,Cas,GM3-15 RNO147-8,
    [M2003] 909,23.884444,62.691389,,Cas,RNO149,
    [M2003] 910,23.884722,62.776111,,Cas,,
    [M2003] 911,23.901111,60.556667,,Cas,,2-3 nebulae
    [M2003] 912,23.959167,61.991111,,Cas,,
    [M2003] 913,23.978333,66.437500,,Cas,P23 LkHa259,
    [M2003] 544,11.200000,-53.165000,,Cen,,faint cloud
    [M2003] 546,11.215000,-52.976389,,Cen,,faint; association with bright star not certain
    [M2003] 549,11.227500,-52.833056,,Cen,,faint cloud
    [M2003] 550,11.310278,-48.643056,,Cen,,
    [M2003] 551,11.413611,-58.949167,,Cen,,with "hole"; coords of CD-58o4041=HD304260=VdBH48a in SIMBAD are probably wrong
    [M2003] 552,11.471944,-63.006944,,Cen,,faint cloud
    [M2003] 553,11.481667,-63.101111,,Cen,,
    [M2003] 554,11.487500,-63.553889,,Cen,V808 Cen,
    [M2003] 555,11.492222,-64.091389,,Cen,,bright egde of cloud
    [M2003] 556,11.506944,-63.817500,,Cen,,
    [M2003] 557,11.675833,-64.535000,,Cen,,
    [M2003] 558,11.754444,-48.508889,,Cen,,close group of stars
    [M2003] 562,11.804167,-61.548056,,Cen,,faint
    [M2003] 563,11.806944,-61.440000,,Cen,,
    [M2003] 564,11.806944,-62.320833,,Cen,,
    [M2003] 565,11.810833,-61.485833,,Cen,,
    [M2003] 566,11.811944,-62.326944,,Cen,,identification with CPD-61o2648=HD 309093 is wrong
    [M2003] 569,12.171944,-52.236389,,Cen,,faint cloud
    [M2003] 587,12.746111,-54.520000,,Cen,Boomerang,
    [M2003] 592,13.144167,-62.243333,,Cen,,2-3 stars
    [M2003] 593,13.145833,-62.289722,,Cen,,several stars
    [M2003] 594,13.146111,-62.331667,,Cen,,
    [M2003] 595,13.156389,-62.688611,,Cen,,
    [M2003] 596,13.160556,-62.219444,,Cen,,on edge of cloud
    [M2003] 597,13.175833,-62.221389,,Cen,,2-3 stars?
    [M2003] 598,13.302778,-62.681944,,Cen,,not galaxy
    [M2003] 599,13.312778,-62.759167,,Cen,,double star
    [M2003] 600,13.312778,-62.779444,,Cen,,near previous
    [M2003] 601,13.317778,-62.569722,,Cen,,2-3 stars; in faint HII region
    [M2003] 602,13.317778,-62.582500,,Cen,,in faint HII region
    [M2003] 603,13.330833,-63.024167,,Cen,,
    [M2003] 604,13.351111,-56.299722,,Cen,,
    [M2003] 605,13.430556,-59.713889,,Cen,,on edge of cloud
    [M2003] 606,13.536944,-60.426111,,Cen,GRV12,
    [M2003] 607,13.546944,-60.447500,,Cen,,several stars?
    [M2003] 608,13.614444,-61.261389,,Cen,,
    [M2003] 609,13.860833,-61.658333,,Cen,,
    [M2003] 610,13.904167,-62.233889,,Cen,VWBS object,
    [M2003] 611,13.966111,-63.837778,,Cen,Bruck obj GRV13-14,3 stars
    [M2003] 612,13.957222,-39.935833,,Cen,,
    [M2003] 613,13.962222,-39.979722,,Cen,,double star
    [M2003] 614,13.965556,-40.071667,,Cen,,
    [M2003] 615,14.249722,-61.016944,,Cen,,
    [M2003] 836,20.765278,67.960556,,Cep,GM1-29 PV Cep,
    [M2003] 837,20.838333,56.797500,,Cep,,
    [M2003] 844,20.986944,78.384444,,Cep,RNO129,
    [M2003] 846,21.026944,68.162778,,Cep,V380 Cep,
    [M2003] 848,21.046944,59.513889,,Cep,GM1-54,2 stars
    [M2003] 849,21.016944,77.057778,,Cep,,
    [M2003] 851,21.049722,68.108889,,Cep,PP100 RNO131,
    [M2003] 856,21.273889,68.260278,,Cep,Sh136,
    [M2003] 857,21.288611,58.612222,,Cep,,
    [M2003] 858,21.323056,64.872222,,Cep,V382 Cep,
    [M2003] 863,21.611389,57.501111,,Cep,,
    [M2003] 864,21.616111,68.185000,,Cep,V433 Cep,
    [M2003] 866,21.677500,66.583611,,Cep,V391 Cep,3-4 nebulae
    [M2003] 867,21.711389,66.168611,,Cep,,near NGC7129
    [M2003] 868,21.713333,66.180833,,Cep,GM1-53,near NGC7129
    [M2003] 870,21.715833,66.073889,,Cep,GM1-57 RNO138,near NGC7129
    [M2003] 871,21.716389,66.102778,,Cep,V361 Cep,several stars
    [M2003] 872,21.730556,66.146389,,Cep,,near NGC7129
    [M2003] 875,21.875278,64.964444,,Cep,,several stars in common nebula
    [M2003] 877,22.113889,59.041667,,Cep,GM1-32,
    [M2003] 878,22.121389,56.233889,,Cep,,
    [M2003] 879,22.152222,72.884444,,Cep,,
    [M2003] 880,22.161389,73.390833,,Cep,,
