<?xml version="1.0" encoding="utf-8"?>
<Catalog>
  <CatalogType>Bright Stars Catalog (from HEASARC)</CatalogType>
  <Description>Bright Star Catalog</Description>
  <VisualMagnitudeLimit>14.7</VisualMagnitudeLimit>
  <Epoch>2000.0</Epoch>
  <Author>Hoffleit, Warren</Author>
  <Date>2014-01-31 14:09:17</Date>
  <Source>http://heasarc.gsfc.nasa.gov/W3Browse/star-catalog/bsc5p.html</Source>
  <Comments>
    Catalog covers 88 Constellations and contains 9096 Objects.
    File was saved: Mon Jul 06 16:49:58 EDT 2015
    File was created and filtered by J. L. Lawrence
  </Comments>
  <DataFormatDescrip>
    The format for star catalogs requires that the objects in the catalog
    be sorted by constellation (i.e., constellation abbreviated name) and then by
    object name within the constellations. The data below, sorted by constellation
    and then by object name, is saved as comma delimited fields as follows:
    Name,RA,Decl,mV,Constellation,Alternate Name,Comment
    IMPORTANT NOTE: Because commas are used as field delimiters, commas must **NOT**
    be included in the Name, Alternate Name, or Comment fields!
  </DataFormatDescrip>
  <Data>
    HR 643,2.220360,44.231700,4.830000,And,60 And,
    HR 645,2.226747,51.065800,5.310000,And,,
    HR 647,2.234053,47.484200,6.060000,And,,
    HR 653,2.266080,47.811400,6.330000,And,,
    HR 663,2.292613,44.306900,6.700000,And,,
    HR 670,2.321333,47.380000,5.300000,And,62 And,
    HR 671,2.319693,46.472500,6.210000,And,,
    HR 673,2.322973,48.955300,6.370000,And,,
    HR 677,2.327027,39.835000,6.630000,And,,
    HR 679,2.344833,47.310800,6.110000,And,,
    HR 682,2.349500,50.151400,5.590000,And,63 And,
    HR 687,2.380640,41.396400,5.820000,And,,
    HR 694,2.406913,50.006700,5.190000,And,64 And,
    HR 699,2.427053,50.278600,4.710000,And,65 And,
    HR 709,2.464387,50.569700,6.120000,And,66 And,
    HR 746,2.591080,39.664400,6.360000,And,,
    HR 748,2.594113,37.312200,5.710000,And,,
    HR 756,2.615887,38.732800,5.900000,And,,
    HR 760,2.622447,39.895800,6.540000,And,,
    HR 768,2.638280,37.726700,6.180000,And,,
    HR 769,2.641053,38.089400,6.300000,And,,
    HR 8744,22.986193,52.654400,6.290000,And,,
    HR 8755,23.009553,45.375000,6.500000,And,,
    HR 8758,23.015193,38.708100,6.540000,And,,
    HR 8762,23.032027,42.326100,3.620000,And,1Omi And,
    HR 8766,23.043413,42.757800,5.100000,And,2 And,
    HR 8768,23.045887,44.058900,6.390000,And,,
    HR 8780,23.069720,50.052200,4.650000,And,3 And,
    HR 8800,23.121693,46.068100,6.660000,And,,
    HR 8801,23.119473,52.816400,6.110000,And,,
    HR 8804,23.127587,46.387200,5.330000,And,4 And,
    HR 8805,23.129280,49.295800,5.700000,And,5 And,
    HR 8806,23.136747,44.561700,6.560000,And,,
    HR 8825,23.174220,43.544200,5.940000,And,6 And,
    HR 8830,23.209167,49.406400,4.520000,And,7 And,
    HR 8837,23.237307,50.617800,6.310000,And,,
    HR 8857,23.287947,45.164200,6.430000,And,,
    HR 8860,23.295747,49.015300,4.850000,And,8 And,
    HR 8861,23.298920,45.488900,6.480000,And,,
    HR 8864,23.306500,41.773600,6.020000,And,9 And,
    HR 8870,23.317333,45.137200,6.500000,And,,
    HR 8874,23.324947,48.625300,5.440000,And,11 And,
    HR 8875,23.328220,48.380800,6.320000,And,,
    HR 8876,23.331220,42.078100,5.790000,And,10 And,
    HR 8884,23.345553,44.116400,6.130000,And,,
    HR 8885,23.348140,38.182200,5.770000,And,12 And,
    HR 8902,23.409720,41.112800,6.720000,And,,
    HR 8913,23.452053,42.911900,5.750000,And,13 And,
    HR 8925,23.502053,49.133100,6.170000,And,,
    HR 8927,23.511027,38.661900,6.050000,And,,
    HR 8930,23.521500,39.236400,5.220000,And,14 And,
    HR 8941,23.561860,45.058100,6.240000,And,,
    HR 8947,23.577080,40.236400,5.590000,And,15 And,
    HR 8950,23.579640,38.023900,6.180000,And,,
    HR 8955,23.608473,32.904200,6.350000,And,,
    HR 8961,23.626080,46.458100,3.820000,And,16Lam And,
    HR 8962,23.625553,44.429200,5.800000,And,,
    HR 8964,23.632947,46.199700,6.580000,And,,
    HR 8965,23.635613,43.268100,4.290000,And,17Iot And,
    HR 8967,23.652307,50.471700,5.300000,And,18 And,
    HR 8973,23.667447,37.652500,6.530000,And,,
    HR 8976,23.673473,44.333900,4.140000,And,19Kap And,
    HR 8977,23.677947,36.720800,6.230000,And,,
    HR 8986,23.704113,44.991900,6.570000,And,,
    HR 9003,23.767253,46.420300,4.950000,And,20Psi And,
    HR 9011,23.792553,46.832500,6.070000,And,,
    HR 9024,23.828053,36.425300,5.900000,And,,
    HR 9053,23.926000,47.355800,6.000000,And,,
    HR 9057,23.951000,42.658300,5.970000,And,,
    HR 9068,23.980333,32.381700,6.520000,And,,
    HR 9070,23.979587,46.413100,6.540000,And,,
    HR 9074,23.991447,33.724400,6.580000,And,,
    HR 9075,23.991447,33.724400,6.580000,And,,
    HR 9080,0.012140,45.253300,6.380000,And,,
    HR 9086,0.028833,42.367200,6.250000,And,,
    HR 9105,0.076860,42.092200,6.010000,And,,
    HR 9107,0.081613,34.659700,6.120000,And,,
    HR 3756,9.460667,-35.007800,6.650000,Ant,,
    HR 3765,9.487413,-35.951400,4.510000,Ant,Eps Ant,
    HR 3766,9.487860,-38.403900,6.190000,Ant,,
    HR 3770,9.498473,-26.589700,5.480000,Ant,,
    HR 3780,9.512613,-31.891400,7.000000,Ant,Zet1Ant,
    HR 3781,9.512807,-31.889400,6.180000,Ant,Zet1Ant,
    HR 3789,9.525613,-31.871900,5.930000,Ant,Zet2Ant,
    HR 3790,9.525807,-35.715000,5.870000,Ant,,
    HR 3798,9.538473,-28.628100,6.460000,Ant,,
    HR 3812,9.552167,-39.128900,6.430000,Ant,,
    HR 3823,9.586613,-35.823900,6.490000,Ant,,
    HR 3828,9.609360,-24.702800,6.530000,Ant,,
    HR 3830,9.616720,-25.296700,5.700000,Ant,,
    HR 3833,9.619413,-32.178600,5.630000,Ant,,
    HR 3835,9.624527,-36.095800,5.980000,Ant,,
    HR 3844,9.644640,-39.614200,6.700000,Ant,,
    HR 3867,9.711500,-35.501700,6.410000,Ant,,
    HR 3871,9.736693,-27.769400,4.790000,Ant,The Ant,
    HR 3874,9.737720,-39.571100,6.820000,Ant,,
    HR 3878,9.756053,-30.202800,6.450000,Ant,,
    HR 3892,9.824473,-37.186400,5.970000,Ant,,
    HR 3897,9.830913,-36.268600,6.370000,Ant,,
    HR 3916,9.882780,-27.332200,6.300000,Ant,,
    HR 3932,9.943193,-33.418600,5.840000,Ant,,
    HR 3933,9.948333,-27.475000,6.320000,Ant,,
    HR 3947,9.981193,-35.891100,5.230000,Ant,Eta Ant,
    HR 3956,10.047027,-30.577500,6.540000,Ant,,
    HR 3968,10.073167,-39.975800,6.430000,Ant,,
    HR 3972,10.087553,-36.383900,6.270000,Ant,,
    HR 3984,10.133807,-37.333600,6.360000,Ant,,
    HR 3992,10.158833,-35.856700,6.130000,Ant,,
    HR 4003,10.200807,-28.606400,6.280000,Ant,,
    HR 4013,10.223553,-33.031900,6.380000,Ant,,
    HR 4015,10.229420,-40.345800,5.900000,Ant,,
    HR 4019,10.232387,-40.310600,6.350000,Ant,,
    HR 4029,10.255807,-36.518100,6.190000,Ant,,
    HR 4049,10.302113,-28.991900,5.340000,Ant,,
    HR 4053,10.310500,-36.804700,6.300000,Ant,,
    HR 4083,10.386973,-30.162200,6.270000,Ant,,
    HR 4086,10.391473,-38.010000,5.330000,Ant,,
    HR 4104,10.452527,-31.067800,4.250000,Ant,Alp Ant,
    HR 4118,10.493167,-30.607200,5.560000,Ant,Del Ant,
    HR 4153,10.586920,-39.562800,5.380000,Ant,,
    HR 4183,10.681000,-35.741700,6.370000,Ant,,
    HR 4194,10.712000,-32.715800,5.640000,Ant,,
    HR 4238,10.832500,-34.058100,5.610000,Ant,,
    HR 4273,10.945307,-37.137800,4.600000,Ant,Iot Ant,
    HR 4313,11.081720,-35.804700,5.430000,Ant,,
    HR 5240,14.009113,-78.590000,6.090000,Aps,,
    HR 5261,14.088833,-76.796700,5.500000,Aps,The Aps,
    HR 5279,14.140860,-74.850300,6.020000,Aps,,
    HR 5303,14.303833,-81.007800,4.910000,Aps,Eta Aps,
    HR 5306,14.281913,-77.663900,6.470000,Aps,,
    HR 5327,14.406473,-82.848600,6.420000,Aps,,
    HR 5336,14.372973,-80.108900,5.060000,Aps,Eps Aps,
    HR 5389,14.493553,-76.729200,6.070000,Aps,,
    HR 5470,14.797667,-79.044700,3.830000,Aps,Alp Aps,
    HR 5520,14.887140,-73.190000,5.600000,Aps,,
    HR 5540,14.964693,-76.662800,5.340000,Aps,,
    HR 5547,15.003280,-77.160300,5.930000,Aps,,
    HR 5555,14.998887,-75.032500,6.200000,Aps,,
    HR 5598,15.119087,-71.905300,6.520000,Aps,,
    HR 5628,15.209387,-72.770300,6.010000,Aps,,
    HR 5730,15.525220,-73.389400,5.490000,Aps,Kap1Aps,
    HR 5757,15.655080,-77.918100,6.180000,Aps,,
    HR 5782,15.672553,-73.446700,5.650000,Aps,Kap2Aps,
    HR 5786,15.698500,-76.081900,5.950000,Aps,,
    HR 5955,16.098833,-72.400800,5.700000,Aps,,
    HR 6020,16.339113,-78.695800,4.680000,Aps,Del1Aps,
    HR 6021,16.340780,-78.667200,5.270000,Aps,Del2Aps,
    HR 6102,16.557500,-78.897200,3.890000,Aps,Gam Aps,
    HR 6135,16.572027,-70.988100,5.500000,Aps,,
    HR 6163,16.717947,-77.517500,4.240000,Aps,Bet Aps,
    HR 6357,17.205500,-70.721100,6.220000,Aps,,
    HR 6373,17.276553,-74.533100,6.250000,Aps,,
    HR 6400,17.336887,-70.045600,6.530000,Aps,,
    HR 6411,17.368307,-70.123300,5.410000,Aps,Iot Aps,
    HR 6417,17.366500,-67.770600,4.780000,Aps,Zet Aps,
    HR 6429,17.524247,-80.859200,5.880000,Aps,,
    HR 6565,17.738807,-72.220800,6.490000,Aps,,
    HR 6635,17.961613,-76.177500,6.070000,Aps,,
    HR 6646,18.090747,-81.486400,6.350000,Aps,,
    HR 6731,18.187693,-75.891400,5.860000,Aps,,
    HR 6751,18.209580,-73.671700,5.850000,Aps,,
    HR 7040,18.747193,2.060000,5.020000,Aql,4 Aql,
    HR 7059,18.774580,-0.961700,5.900000,Aql,5 Aql,
    HR 7085,18.826973,0.835800,6.250000,Aql,,
    HR 7099,18.846000,10.976400,6.550000,Aql,,
    HR 7101,18.856140,-3.317800,6.100000,Aql,8 Aql,
    HR 7135,18.924307,6.615300,5.570000,Aql,,
    HR 7143,18.939640,-1.800000,6.220000,Aql,,
    HR 7163,18.973280,6.240300,6.210000,Aql,,
    HR 7165,18.970747,17.360800,5.380000,Aql,,
    HR 7167,18.979693,13.906700,5.890000,Aql,10 Aql,
    HR 7172,18.984913,13.622500,5.230000,Aql,11 Aql,
    HR 7173,18.988193,10.140800,6.750000,Aql,,
    HR 7176,18.993720,15.068300,4.020000,Aql,13Eps Aql,
    HR 7193,19.028000,-5.738900,4.020000,Aql,12 Aql,
    HR 7208,19.039333,8.374200,6.300000,Aql,,
    HR 7209,19.048473,-3.698900,5.420000,Aql,14 Aql,
    HR 7214,19.058947,1.818900,5.830000,Aql,,
    HR 7219,19.069640,3.330600,6.730000,Aql,,
    HR 7220,19.073387,-5.685000,6.900000,Aql,,
    HR 7225,19.082667,-4.031400,5.420000,Aql,15 Aql,
    HR 7231,19.088500,-1.512800,6.530000,Aql,,
    HR 7235,19.090167,13.863300,2.990000,Aql,17Zet Aql,
    HR 7236,19.104140,-4.882500,3.440000,Aql,16Lam Aql,
    HR 7243,19.106167,8.230000,6.090000,Aql,,
    HR 7245,19.119193,0.641700,6.560000,Aql,,
    HR 7248,19.116280,11.071400,5.090000,Aql,18 Aql,
    HR 7266,19.149973,6.073300,5.220000,Aql,19 Aql,
    HR 7269,19.164333,-0.428100,6.340000,Aql,,
    HR 7279,19.211307,-7.939400,5.340000,Aql,20 Aql,
    HR 7287,19.228527,2.293600,5.150000,Aql,21 Aql,
    HR 7288,19.228913,5.515800,6.490000,Aql,,
    HR 7300,19.255580,15.083600,5.570000,Aql,,
    HR 7303,19.275280,4.834700,5.590000,Aql,22 Aql,
    HR 7307,19.274113,14.544700,5.630000,Aql,,
    HR 7313,19.296720,2.031700,6.190000,Aql,,
    HR 7315,19.296947,11.595300,5.280000,Aql,25Ome1Aql,
    HR 7319,19.309027,1.085300,5.100000,Aql,23 Aql,
    HR 7321,19.314140,0.339200,6.410000,Aql,24 Aql,
    HR 7325,19.314640,9.618100,6.320000,Aql,,
    HR 7331,19.327587,12.374700,5.530000,Aql,28 Aql,
    HR 7332,19.331387,11.535000,6.020000,Aql,29Ome2Aql,
    HR 7333,19.342473,-5.415800,5.010000,Aql,26 Aql,
    HR 7336,19.343247,-0.892200,5.490000,Aql,27 Aql,
    HR 7347,19.372413,-8.201100,6.310000,Aql,,
    HR 7349,19.372640,-0.252500,5.830000,Aql,,
    HR 7353,19.384613,-7.400300,6.320000,Aql,,
    HR 7354,19.380113,9.913100,6.350000,Aql,,
    HR 7357,19.385613,14.921100,6.640000,Aql,,
    HR 7366,19.417113,-4.884200,6.520000,Aql,,
    HR 7373,19.416167,11.944400,5.160000,Aql,31 Aql,
    HR 7377,19.424973,3.114700,3.360000,Aql,30Del Aql,
    HR 7387,19.441973,0.338600,4.660000,Aql,32Nu Aql,
    HR 7389,19.440027,13.023900,5.740000,Aql,,
    HR 7396,19.459413,14.282500,6.320000,Aql,,
    HR 7397,19.472447,2.930300,5.850000,Aql,,
    HR 7400,19.483613,1.950300,5.800000,Aql,35 Aql,
    HR 7402,19.489307,-7.043900,6.610000,Aql,,
    HR 7404,19.488333,0.246100,6.250000,Aql,,
    HR 7407,19.489473,14.595800,5.560000,Aql,,
    HR 7412,19.502920,2.904200,6.090000,Aql,,
    HR 7414,19.511053,-2.788900,5.030000,Aql,36 Aql,
    HR 7415,19.509193,3.444400,6.050000,Aql,,
    HR 7429,19.568167,7.378900,4.450000,Aql,38Mu Aql,
    HR 7430,19.585360,-10.560300,5.120000,Aql,37 Aql,
    HR 7432,19.591613,-7.460300,6.340000,Aql,,
    HR 7438,19.590333,2.913300,6.380000,Aql,,
    HR 7445,19.602220,11.150000,6.680000,Aql,,
    HR 7446,19.614860,-7.027500,4.950000,Aql,39Kap Aql,
    HR 7447,19.612027,-1.286400,4.360000,Aql,41Iot Aql,
    HR 7449,19.604387,14.391700,6.380000,Aql,,
    HR 7456,19.614587,11.273300,5.980000,Aql,,
    HR 7460,19.629807,-4.647500,5.460000,Aql,42 Aql,
    HR 7471,19.646947,3.381700,6.350000,Aql,,
    HR 7474,19.653220,5.397800,5.170000,Aql,44Sig Aql,
    HR 7480,19.678693,-0.621100,5.670000,Aql,45 Aql,
    HR 7486,19.684860,13.815600,6.010000,Aql,,
    HR 7493,19.703553,12.193300,6.340000,Aql,46 Aql,
    HR 7497,19.709447,11.826700,5.270000,Aql,47Chi Aql,
    HR 7511,19.742807,13.302800,6.260000,Aql,48Psi Aql,
    HR 7516,19.764500,-2.883300,6.480000,Aql,,
    HR 7519,19.761087,7.613300,5.910000,Aql,49Ups Aql,
    HR 7525,19.771000,10.613300,2.720000,Aql,50Gam Aql,
    HR 7541,19.817280,-10.870800,6.040000,Aql,,
    HR 7542,19.808447,10.694200,6.440000,Aql,,
    HR 7544,19.811693,11.815800,5.720000,Aql,52Pi Aql,
    HR 7553,19.846333,-10.763600,5.390000,Aql,51 Aql,
    HR 7554,19.838193,7.902500,6.510000,Aql,,
    HR 7557,19.846387,8.868300,0.770000,Aql,53Alp Aql,
    HR 7559,19.853087,-2.460800,6.130000,Aql,,
    HR 7560,19.850447,10.415600,5.110000,Aql,54Omi Aql,
    HR 7562,19.854920,9.630300,6.250000,Aql,,
    HR 7569,19.867640,11.628900,6.130000,Aql,,
    HR 7570,19.874553,1.005600,3.900000,Aql,55Eta Aql,
    HR 7572,19.871000,10.351400,6.540000,Aql,,
    HR 7575,19.888527,-3.114400,5.650000,Aql,,
    HR 7580,19.889613,4.400600,6.530000,Aql,,
    HR 7584,19.902280,-8.574200,5.790000,Aql,56 Aql,
    HR 7593,19.910447,-8.227200,5.710000,Aql,57 Aql,
    HR 7594,19.910587,-8.237200,6.490000,Aql,57 Aql,
    HR 7595,19.904140,8.461400,4.710000,Aql,59Xi Aql,
    HR 7596,19.912447,0.273600,5.610000,Aql,58 Aql,
    HR 7598,19.911193,7.140300,6.150000,Aql,,
    HR 7599,19.922113,-6.734200,6.510000,Aql,,
    HR 7602,19.921887,6.406700,3.710000,Aql,60Bet Aql,
    HR 7610,19.937307,11.423900,5.280000,Aql,61Phi Aql,
    HR 7636,19.989640,1.377800,6.170000,Aql,,
    HR 7637,19.996500,-9.958300,5.880000,Aql,,
    HR 7648,20.016360,8.558100,5.910000,Aql,,
    HR 7661,20.067000,-7.469700,6.720000,Aql,,
    HR 7664,20.058333,16.031400,5.670000,Aql,,
    HR 7667,20.073113,-0.709400,5.680000,Aql,62 Aql,
    HR 7669,20.068973,7.278100,5.520000,Aql,63Tau Aql,
    HR 7671,20.084833,-11.599400,6.340000,Aql,,
    HR 7680,20.090693,15.500300,6.340000,Aql,,
    HR 7681,20.103387,-4.078300,6.470000,Aql,,
    HR 7690,20.133833,-0.678300,5.990000,Aql,64 Aql,
    HR 7693,20.130640,9.399700,6.430000,Aql,,
    HR 7700,20.143973,10.725800,6.310000,Aql,,
    HR 7710,20.188420,-0.821400,3.230000,Aql,65The Aql,
    HR 7717,20.209780,0.867500,6.270000,Aql,,
    HR 7720,20.220527,-1.009400,5.470000,Aql,66 Aql,
    HR 7724,20.237947,15.197500,4.950000,Aql,67Rho Aql,
    HR 7768,20.328693,-1.078600,6.060000,Aql,,
    HR 7772,20.340587,-6.361700,6.630000,Aql,,
    HR 7794,20.386307,5.343100,5.310000,Aql,,
    HR 7803,20.410413,1.068600,6.150000,Aql,,
    HR 7809,20.428473,-2.800300,6.110000,Aql,,
    HR 7821,20.473587,-3.357800,6.130000,Aql,68 Aql,
    HR 7831,20.494167,-2.885600,4.910000,Aql,69 Aql,
    HR 7873,20.612113,-2.550000,4.890000,Aql,70 Aql,
    HR 7878,20.621753,0.096900,6.220000,Aql,,
    HR 7884,20.638973,-1.105300,4.320000,Aql,71 Aql,
    HR 7890,20.653667,-2.412800,6.220000,Aqr,,
    HR 7897,20.656920,0.486400,5.160000,Aqr,1 Aqr,
    HR 7946,20.784333,-2.486700,6.270000,Aqr,,
    HR 7950,20.794613,-9.495800,3.770000,Aqr,2Eps Aqr,
    HR 7951,20.795613,-5.027800,4.420000,Aqr,3 Aqr,
    HR 7976,20.844947,-12.545000,5.880000,Aqr,,
    HR 7982,20.857140,-5.626400,5.990000,Aqr,4 Aqr,
    HR 7985,20.869087,-5.506900,5.550000,Aqr,5 Aqr,
    HR 7990,20.877553,-8.983300,4.730000,Aqr,6Mu Aqr,
    HR 7994,20.884887,-11.573600,6.380000,Aqr,,
    HR 7998,20.899553,-6.889700,6.440000,Aqr,,
    HR 8006,20.918920,-1.373300,6.550000,Aqr,,
    HR 8014,20.938420,-3.561400,6.570000,Aqr,,
    HR 8015,20.948333,-9.697500,5.510000,Aqr,7 Aqr,
    HR 8017,20.952947,0.463600,6.050000,Aqr,,
    HR 8024,20.978307,-14.482800,6.010000,Aqr,,
    HR 8041,21.009387,-4.730300,6.210000,Aqr,11 Aqr,
    HR 8054,21.049887,-0.924700,6.500000,Aqr,,
    HR 8056,21.050833,1.531900,6.250000,Aqr,,
    HR 8058,21.067947,-5.823300,7.310000,Aqr,12 Aqr,
    HR 8059,21.067973,-5.823100,5.890000,Aqr,12 Aqr,
    HR 8068,21.079280,2.269700,6.330000,Aqr,,
    HR 8093,21.159913,-11.371700,4.510000,Aqr,13Nu Aqr,
    HR 8096,21.179693,-9.353900,6.270000,Aqr,,
    HR 8102,21.194807,-14.472200,6.480000,Aqr,,
    HR 8118,21.237973,-10.605300,6.770000,Aqr,,
    HR 8121,21.243613,0.092200,6.380000,Aqr,,
    HR 8132,21.277667,-1.607800,6.480000,Aqr,,
    HR 8134,21.287080,-13.278900,6.400000,Aqr,,
    HR 8141,21.303087,-4.519400,5.820000,Aqr,15 Aqr,
    HR 8160,21.351193,-4.560000,5.870000,Aqr,16 Aqr,
    HR 8175,21.382307,-9.319400,5.990000,Aqr,17 Aqr,
    HR 8187,21.403193,-12.878100,5.490000,Aqr,18 Aqr,
    HR 8192,21.414360,-3.398300,6.360000,Aqr,20 Aqr,
    HR 8195,21.420307,-9.748600,5.700000,Aqr,19 Aqr,
    HR 8199,21.421387,-3.556700,5.490000,Aqr,21 Aqr,
    HR 8203,21.430973,0.534400,6.460000,Aqr,,
    HR 8205,21.441140,1.103300,6.130000,Aqr,,
    HR 8232,21.525973,-5.571100,2.910000,Aqr,22Bet Aqr,
    HR 8251,21.588220,-3.983100,5.770000,Aqr,,
    HR 8263,21.626053,-0.390300,6.250000,Aqr,,
    HR 8264,21.629193,-7.854200,4.690000,Aqr,23Xi Aqr,
    HR 8277,21.659253,2.243600,5.100000,Aqr,25 Aqr,
    HR 8287,21.702807,1.285300,5.670000,Aqr,26 Aqr,
    HR 8332,21.793920,-5.917200,6.170000,Aqr,,
    HR 8360,21.902887,-4.276100,5.710000,Aqr,,
    HR 8363,21.909973,-3.301100,6.200000,Aqr,,
